"RecipeInstructions","Name","Images","Keywords","RecipeIngredientQuantities","RecipeIngredientParts","AggregatedRating","ReviewCount","RecipeId","RecipeCategory"
"Grill chicken breast all the way until cooked., While chicken is cooking, heat up salsa on stove., Place refried beans in a microwave safe bowl and heat about 1 minute or until hot., Once chicken is no longer pink, slice into strips and mix into the salsa., Place the lettuce shreds on plate, and layer the hot beans on top., Top the beans with the chicken salsa mixture and spoon on the sour cream on to., Serve with a side of your favorite rice and garnish with sliced green onion.","Mexican Fiesta","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/73/48/picO6DkL9.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/73/48/picXcs9Df.jpg","< 30 Mins, Easy","1, 1, 1/2, 1/2, 1/2, NA","boneless skinless chicken breast, chunky salsa, lettuce, fat free sour cream, green onion","5","1","207348","Mexican"
"Combine first 6 ingredients; sprinkle evenly over both sides of fillets., Arrange fish on a lightly greased rack in a broiler pan., Sprinkle evenly with garlic. Arrange lemon slices over fish., Broil 6 inches from heat 10 to 12 minutes or until fish flakes with a fork., Drizzle with Lemon Vinaigrette., To Make Vinaigrette:., Whisk together all ingredients.","Herb Flounder With Lemon Vinaigrette","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/75/15/pic51BhZk.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/75/15/picOeiycy.jpg","< 30 Mins, Oven","1, 1, 1, 1, 1, 1/4, 2, 2, 2, 1/2, 1 1/2, 1/4, 1/4, 1/4, 1/4","salt, dried thyme, dried rosemary, dried basil, fresh ground black pepper, garlic cloves, lemons, lemon rind, lemon juice, salt, dried basil, pepper, olive oil","4.5","6","207515","Very Low Carbs"
"Preheat oven to 375 degrees., Mix the first four dry ingredients in a bowl., In a separate bowl, mix the egg, molasses, sugar, oil and grated lemon rind., Add the egg mix to the dry ingredients alternately., Mix in the yogurt., Pour in butter 9 by 5 inch loaf pan., Bake for 50 minutes.","Ella Grasso's Quick Whole Wheat Bread","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/76/07/picodODoX.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/76/07/picgY67zn.jpg","Breads, For Large Groups, < 4 Hours","2 1/2, 1/2, 1/4, 1, 1/4, 1/3, 1/4, 1/4, 1, 1","whole wheat flour, cinnamon, salt, baking soda, egg substitute, molasses, brown sugar, canola oil, lemon rind, plain fat-free yogurt","5","4","207607","Quick Breads"
"Preheat oven to 400°., Rinse chicken, and pat dry. Season generously with salt, garlic powder and pepper., In a small bowl, whisk egg with 1 tablespoon water. In a large bowl, mix cornflakes with oil, cayenne, and 1 teaspoon salt., Working with one piece of chicken at a time, dip chicken in egg mixture, then coat with seasoned cornflakes, pressing flakes to help them adhere. Transfer coated pieces to a rimmed baking sheet., Bake until golden brown and crisp, about 30 minutes.","Cornflake-Crusted Baked Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/80/43/pic81aGeX.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/80/43/picc8Vs7I.jpg","Chicken, Poultry, Meat, High Protein, High In..., < 60 Mins","4, 4, NA, NA, 1, 2, 1, 1/2","skinless chicken thighs, coarse salt, ground pepper, egg, olive oil, cayenne pepper","5","12","208043","Lunch/Snacks"
"Cut chicken into about 2-inch pieces.  Place in a large slow cooker., Add all remaining ingredients.  Cover and cook on high for about  7 hours, or until chicken is done and potatoes are tender., You can par-boil your potatoes, if desired to speed cooking time., Gently stir well before serving.","Slow Cooker Cheesy Broccoli Chicken Casserole","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/83/95/pics7MGPe.jpg, https://img.sndimg.com/food/image/upload/v1/img/feed/208395/1i1yOUCTcS5klsWW1wK0_20170311_151224.jpg","Chicken Breast, Chicken, Potato, Poultry, Vegetable, Meat, Kid Friendly, Oven, Easy","1 1/2, 1/2, 5, 16, 2, 3 -4, 1, 1 1/2, 1/4, 1/2, 2, NA, NA","boneless skinless chicken breasts, onion, white potatoes, garlic cloves, low-fat milk, cheddar cheese, red pepper flakes, paprika, parsley, pepper, salt","4","11","208395","One Dish Meal"
"Peel and chop the potatoes into large pieces., Sauté peppers and onions over medium heat in oil for 10 minutes., Stir in the coriander and garlic and stir-fry for another 3 minutes., Add the remaining ingredients and bring to a boil. Cover and cook over medium heat for 40 minutes. The potatoes should be well done but still somewhat firm., If needed add more water., Serve hot.","Yakhnit Batata","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/85/92/picEmhdKu.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/85/92/picEXnxDz.jpg","Potato, Vegetable, Southwest Asia (middle East), Asian, Vegan, Brunch, < 60 Mins, Beginner Cook, Easy","3, 2, 2, 1/2, 8, 1/4, 2, 6, 4, 1, 1","olive oil, sweet peppers, onions, coriander leaves, garlic cloves, cayenne, ground cumin, potatoes, water, salt, lemon rind","5","1","208592","Stew"
"Preheat the oven at 350°., Mix the flour and baking powder in a bowl., In a large bowl, cream the sugar and cold melted butter., Add the eggs to the large bowl one at a time and mix well., Add the vanilla and milk to the sugar mixture., Finally, add the flour to the entire mixture., Pour the mixture into a bundt pan of your choice., Place in the oven for approximately 50 minutes or until the top begins to brown slightly.","Lemon Bundt Cake","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/87/23/picZ5Hxog.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/87/23/picnTjeFr.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/87/23/picUgVG1O.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/87/23/picdHO5bf.jpg","Dessert, Southwest Asia (middle East), Asian, Sweet, Brunch, < 4 Hours","4, 1, 1, 2, 3, 2, 1/2, 1/2","eggs, butter, margarine, milk, sugar, flour, baking powder, vanilla, lemon rind","5","3","208723","Breakfast"
"Preheat oven to 400ºF., Mix chicken, hot sauce and mustard., Spoon about 1 teaspoon  mixture on each cracker;  place on baking sheet., Drizzle with melted butter., Mix blue cheese and celery; spoon about 1/2 teaspoon cheese mixture on each cracker., Bake at 400ºF for 4 minutes or until cheese melts., Serve with additional hot sauce.","Triscuit Buffalo Bites","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/87/96/picCdHLUb.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/87/96/picP8OYet.jpg","Chicken, Poultry, Meat, < 30 Mins, For Large Groups, Easy","4, 4, 2, 36, 2, 4, 2","boneless skinless chicken breasts, Dijon mustard, butter, blue cheese, celery","NA","NA","208796","Chicken Breast"
"Pour olive oil in a large skillet, then add minced garlic and chicken breasts, cook over medium heat until chicken is almost cooked throughly., Now you will add all your peppers and onions; cook until chicken is done., Add mushrooms, cover with lid turn down heat and let simmer for about 10 minutes., Serve over a bed of rice (optional).","Smothered Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/90/70/pic4nEGgr.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/90/70/pic3d4hzY.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/90/70/picF69Ph1.jpg","Poultry, Vegetable, Meat, Low Cholesterol, Healthy, < 60 Mins, Beginner Cook, Easy, Inexpensive","4, 1/3, 4, 1, 1, 1, 1, 2","boneless skinless chicken breasts, olive oil, minced garlic cloves, onion, yellow sweet pepper, green sweet pepper","2","1","209070","Chicken"
"Combine the first three ingredients and place the chicken breasts in the marinade., Marinate for at least 30 minutes before cooking or grilling., Recipe does not give cooking instructions, but you may try cooking them at 375° for 20 to 30 minutes.","Salsa Seasoning Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/91/51/picpRv5kn.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/91/51/pickdgs97.jpg","Chicken, Poultry, Meat, Mexican, Spicy, < 60 Mins, Oven, Beginner Cook, Easy","2, 1/4, 1, 1","olive oil, lime, juice of, boneless skinless chicken breast","5","4","209151","Chicken Breast"
"Heat oil in large nonstick skillet over medium-high heat., Add chicken & strips of bell pepper & cook 8 minutes or until chicken is cooked through, stirring occasionally., Add sweet & sour sauce, dressing, soy sauce & broccoli, mixing well., Cook for 2 minutes or until heated through, stirring occasionally., Serve over hot rice.","Chicken Sweet  Sour Stir-Fry","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/91/87/picZ8mDsC.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/91/87/pict8dqeE.jpg","Chicken Breast, Chicken, Poultry, Rice, Meat, < 30 Mins","1, 1, 1, 1/3, 1/4, 2, 2, 1 1/2","boneless skinless chicken breast, yellow bell pepper, soy sauce, broccoli florets","5","9","209187","One Dish Meal"
"Preheat oven to 350°F  Place chicken in 9x13 baking dish.  Sprinkle with onion flakes., In a small bowl, combine soy sauce, honey and garlic powder and pour mixture evenly over chicken., Cover and bake for 30 minutes., Spread green peppers and mushrooms evenly over chicken and continue to bake, covered 20 or more minutes until mushrooms are tender.","Ww Chicken  Mushrooms (5 Points)","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/94/45/picWitw5e.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/94/45/picOAsK0N.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/94/45/picnVKOXB.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/94/45/pictRQdV8.jpg","Chicken, Poultry, Meat, < 60 Mins","4, 1, 1/4, 2, 1, 1/2, 2 1/2","boneless chicken breasts, soy sauce, honey, garlic powder, green pepper","4","4","209445","Chicken Breast"
"Heat oil in large deep skillet on medium-high heat., Add chicken; cook 7 minute or until cooked through, stirring occasionally., Mix broth, dressing, and flour until well blended; gradually add to skillet, stirring constantly., Add tortillas; stir to combine., Bring to boil.  Reduce heat to medium-low; simmer 3 minute., Sprinkle with cheese; cover., Simmer 3 to 5 minute or until cheese is melted., Top with salsa.","Super-Easy Chicken Enchilada Skillet","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/96/00/picpR2Mao.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/96/00/picdOSE6R.jpg","Chicken, Poultry, Meat, < 30 Mins, Easy","1, 1, 1, 1/4, 2, 6, 1, 1/2","skinless chicken breast half, chicken broth, flour, flour tortillas, salsa","4","1","209600","One Dish Meal"
"Place chicken in baking dish., Mix other ingredients, spoon over chicken., Bake uncovered at 350F for 40 minutes or so.","Ww Sticky Chicken (5 Points)","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/98/19/picwlinoV.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/98/19/picnZNpPV.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/98/19/picqtdcvA.jpg","Chicken, Poultry, Meat, < 60 Mins, Easy","4, 1/2, 3, 2, 2, 2","boneless chicken breasts, ketchup, brown sugar, vinegar, Worcestershire sauce, dry mustard","4.5","36","209819","Chicken Breast"
"Place uncooked chicken cubes in a single layer in a 10-inch saucepan., Pour 1/2 cup pickle juice to cover halfway and cook over low heat until chicken is cooked through (until no pink remains)., Drain and cool., Stir mayonnaise and 2 tablespoons pickle juice together in a large bowl; add chicken, celery, scallions and pickles., Mix well., Serve as appetizer on crackers, as a sandwich filling or spoon over salad greens.","Pickliscious Chicken Salad","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/14/89/picCZW93r.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/14/89/picAz5V0f.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/14/89/picysyj6O.jpg","Chicken Breast, Chicken, Poultry, Meat, < 30 Mins","1, 1/2, 2, 1/2, 1, 1, 1/2","boneless skinless chicken breast, pickle juice, pickle juice, light mayonnaise, celery, scallion, bread and butter pickles","4","3","211489","Lunch/Snacks"
"Heat oven to 450°F., Place 1 tortilla on large baking sheet., Spread with 1 tablespoon chiles., Top with one-quarter of chicken, cheese and taco sauce., Place another tortilla on top., Repeat with remaining tortillas, chiles, chicken, cheese and sauce, for a total of 4 separate quesadillas., Bake in 450F oven 8 minutes, until crispy and cheese melted., Remove from oven; let stand for 5 minutes., Cut into quarters., Garnish with cilantro, salsa and sour cream.","BBQ Chicken and Cheddar Quesadillas","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/22/94/piceisS1q.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/22/94/picxkaPsl.jpg","Southwestern U.S., Mexican, Kid Friendly, Spicy, Savory, < 30 Mins, Beginner Cook, Easy","8, 1, 2, 1/2, 1/2, NA, 1, 1/4","flour tortillas, mild green chilies, extra-sharp cheddar cheese, fresh cilantro stem, salsa, sour cream","5","5","212294","Tex Mex"
"In a medium pan add oil and onion cook for about 2 minutes., Then add garlic, cook for 1 minute., Add the cubed chicken cook for 5 minutes., Then add all the rest of the indgredients,stir., Cook for 15 minutes, on low heat., Serve with tortilla chips.","White Chili","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/23/88/piccStWFd.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/23/88/pic9uAoXP.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/23/88/pic3rp3Yu.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/23/88/picGeMAzE.jpg","Beans, Meat, < 30 Mins","1, 1, 2, 2, 1, 2, 1/2, 10 3/4, 1, 2, 4 1/2","olive oil, onion, garlic cloves, boneless skinless chicken breasts, great northern beans, oregano, salt, cumin, green chilies","5","6","212388","Poultry"
"In a large bowl, combine chicken, blueberries, celery, grapes and almonds., In a small bowl, mix dressing ingredients., Pour over the chicken mixture and toss gently., Spoon into cantaloupe halves., Nutritional Information: One serving (prepared with sugar substitute, light mayonnaise and sour cream and without added salt) equals: 285 calories, 87 mg sodium, 36 mg cholesterol, 37 gm carbohydrate, 18 gm protein, 9 gm fat.","Cantaloupe With Chicken Salad","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/32/94/picvHa2SA.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/32/94/pic4wAe0R.jpg","Poultry, Melons, Fruit, Meat, Low Cholesterol, Healthy, < 15 Mins","2, 2, 1, 1, 1/2, 3, 1/2, 1/4, 1, 1 1/2, 1 1/2, 1/2, 1/4","fresh blueberries, celery, green seedless grape, cantaloupes, mayonnaise, sour cream, fresh lemon juice, lemon peel, sugar, sugar substitute, ground ginger, salt","5","2","213294","Chicken"
"Preheat oven to 350°F., Saute chicken in pan with olive oil spray til golden outside., Lay chicken breasts  in roasting pan in a single layer., Lay  BLANCHED garlic over chicken breasts., Whisk together tomatoes, wine, broth, tarragon and marjoram and pour over top of chicken and garlic., Season with salt and pepper., Bake for 45-50 minutes., Served with garlic roasted potatoes, green beans and a loaf of crusty homemade herb bread.","Chicken Smothered in Garlic","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/35/26/picSYvGeF.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/35/26/pic1qYsgW.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/35/26/picWDdqy0.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/35/26/picMWQlMj.jpg","Chicken, Poultry, Meat, Healthy, < 60 Mins","4, NA, 8, 2, 1/2, 1/2, 2, 1/2, NA","boneless skinless chicken breasts, olive oil flavored cooking spray, garlic, chopped tomatoes, white wine, chicken broth, tarragon, marjoram","5","5","213526","Chicken Breast"
"Mix together mayonnaise, sour cream, lemon juice, mustard, hot pepper sauce and salt., Stir in chicken, celery and blueberries., Add tarragon and toss lightly. Arrange lettuce leaves on serving plates., Spoon salad over lettuce leaves.","Blueberry Chicken Salad","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/47/73/picooLY7q.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/47/73/picy6KZ4v.jpg","Chicken Breast, Chicken, Poultry, Meat, < 15 Mins","1/4, 2, 2, 2, 1, 1, 2, 1/2, 1, 2, 2","fat-free mayonnaise, nonfat sour cream, lemon juice, Dijon mustard, salt, boneless skinless chicken breasts, celery, fresh blueberries, fresh tarragon, lettuce","4","3","214773","Lunch/Snacks"
"Mix marinade ingredients in a plastic, zipper bag., Add pork cubes and marinate at least 1 hour but not more than 6., Thread meat on skewers. Brush with olive oil., Grill or broil on medium-low heat 7-10 minutes on each side or until nicely browned and just barely done. Don't over-cook or they will be dry and tough.","Lemon-Garlic Pork Kebabs","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/57/59/picsGxVrb.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/57/59/picGbKizy.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/57/59/picP5Jdiq.jpg","Meat, Very Low Carbs, High Protein, High In..., Summer, Camping, < 30 Mins, Beginner Cook, Easy","2, NA, 1/3, 1, 1/2","boneless pork loin, olive oil, lemon juice, garlic, dried rosemary","5","3","215759","Pork"
"Combine all ingredients in medium bowl., Using electric mixer, beat to soft peaks., (Can be made 4 hours ahead. Cover and chill. Rewhisk before using.).","Lemon Whipped Cream","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/58/33/picgaGOM3.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/58/33/piccm212Q.jpg","Low Protein, < 15 Mins, Easy","1, 2, 1, 2","heavy whipping cream, sugar, lemon peel, fresh lemon juice","5","1","215833","Dessert"
"In lg. skillet, coated with nonstick spray, brown chops on both sides. Cook over medium heat till juices run clear (about 10-12 min.)., In a bowl, combine the honey, lemon juice, soy sauce, and garlic., Remove chops and keep warm., Add honey mixture to the skillet; cook over medium heat for 3-4 minutes, stirring occasionally., Pour over chops.","Honey  Garlic Pork Chops","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/58/88/picMH8MSR.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/58/88/pic1n3G1z.jpg","Meat, High Protein, High In..., < 30 Mins, Easy","24, 1/4, 1/4, 2, 1","boneless pork chops, honey, lemon juice, low sodium soy sauce, garlic clove","4.5","6","215888","Pork"
"Combine all ingredients EXCEPT noodles in slow cooker., Cook on LOW for 6-7 hours, stirring occasionally if you can, until beef is cooked through and vegetables are tender., Add noodles and cook on LOW for 1 hour, or until soft.","goulashy Beef Stew for the Slow Cooker","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/60/68/picJk3MX2.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/60/68/pic9kFdY0.jpg","Meat, Easy","1 1/2, 15, 15, 2, 2 1/2, 16, 6, 2, 1/2, 1, 1/2, 1, 1","boneless beef cubes, celery, carrots, onions, frozen baby peas, diced tomatoes, red wine, dried basil, Worcestershire sauce, pepper","5","1","216068","Stew"
"Pre-heat oven to 400°F., Heat oil in large ovenproof skillet over medium-high heat 1 minute., Sprinkle pork with salt and pepper to taste., Brown pork chops 3 minutes per side; add vinegar, rosemary, and soy sauce., Bake 15 minutes., Transfer sauce to bowl and keep warm., Add butter and mushrooms to skillet., Cook over medium heat 2 minutes., Spoon warm sauce over pork and mushrooms and serve.","Balsamic Pork Chops With Mushroom","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/61/06/piczcIsJL.jpg, https://img.sndimg.com/food/image/upload/v1/img/feed/216106/budYzYWSIKaYlrfgy1An_CA163491-0C75-49AA-B6F8-8437EE5DB111.jpeg","Vegetable, Meat, Very Low Carbs, High Protein, Egg Free, Free Of..., High In..., Brunch, < 30 Mins, Beginner Cook, Easy","2, 4, NA, 1/3, 1, 1/2, 1, 4","olive oil, boneless center cut pork chops, soy sauce, dried rosemary, butter, portabella mushrooms","4.5","10","216106","Pork"
"Cook and stir chicken and garlic in a small amount of oil on medium-high heat for 5 minutes or until cooked through., Add 1 1/4 cup water and 1/4 cup soy sauce, sugar, and vegetables., Bring to a rolling boil., Stir in rice; cover., Remove from heat and let stand for 5 minutes for rice to set., Makes 4-6 servings. Enjoy!","Easy Chicken Stir-Fry With Rice","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/61/15/picd5Q121.jpg, https://img.sndimg.com/food/image/upload/v1/img/feed/216115/kvjZydgEQJ2KqoIiVo0l_920679971475469.jpg","Chicken Breast, Chicken, Poultry, Greens, Vegetable, Meat, Asian, Egg Free, Toddler Friendly, Kid Friendly, Free Of..., < 30 Mins, Beginner Cook, Easy, Inexpensive","1, 1, NA, 1 1/4, 1/4, 1, 1, 2","skinless chicken breast, garlic, water, soy sauce, sugar, MINUTE White Rice","5","5","216115","One Dish Meal"
"Place the rosemary and garlic on a cutting board. Lightly crush both with a heavy knife., Put the rosemary, garlic, and lemon peel in a clean bottle or jar with a tight fitting lid., Pour in the oil and the lemon juice and cap tightly. Shake well., This dressing will keep for a week in the refrigerator. Shake well before serving., 12-1 tbsp servings.","Lemon Rosemary Dressing","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/62/19/picnOVqpG.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/62/19/picHzoQzi.jpg","European, Savory, < 15 Mins, No Cook, Beginner Cook, Easy, Inexpensive","1, 1, 1, 3/4, 1/4","rosemary, garlic clove, lemon peel, olive oil, lemon juice","5","3","216219","Salad Dressings"
"Combine whole wheat flour, oat bran, wheat germ, brown sugar, lemon rind, baking powder, baking soda and salt in a large bowl.  Mix well., In a measuring cup, combine eggs, buttermilk, vegetable oil and blueberries., Add batter to muffin cups and bake in a 400 oven for 20 minutes.","Blueberry Oat Bran Muffins","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/63/94/01465746588.jpeg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/63/94/01465687675.jpeg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/63/94/picHS5TAH.jpg","Breads, < 60 Mins, Easy","1, 1, 3/4, 1/2, 1, 2, 1, 1/4, 2, 1 1/2, 3, 1 1/2","whole wheat flour, wheat germ, brown sugar, lemon rind, baking powder, baking soda, salt, eggs, buttermilk, blueberries","4.5","14","216394","Quick Breads"
"In a medium sized bowl combine the mayonnaise, lime juice, lime zest and curry powder., Add all remaining ingredients except the lettuce and pita. Mix until combined., Split pitas and add one or two lettuce leaves.   Add a scoop of tuna salad.","Curried Tuna Pita Pockets","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/65/61/picPeAzQK.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/65/61/picr0lL1u.jpg","Tuna, Apple, Fruit, Brunch, < 15 Mins, No Cook, Beginner Cook, Easy","6, 1/4, 1/2, 1/4, 1, 3, 2, 1/4, 1/4, 2, 4 -6, 1  - 1 1/2","albacore tuna in water, light chunk tuna in water, low-fat mayonnaise, mayonnaise, lime juice, lime zest, curry powder, celery, red onions, currants, raisins, granny smith apple, basil leaves, bibb lettuce","5","4","216561","Lunch/Snacks"
"Preheat oven to 350 degrees F. Spray a 13 x 9 x 2 inch baking dish with cooking spray., Add water, carrots, butter, and rice mix to baking dish. Place chicken on rice mixture and top with ham., Cover baking dish with foil and bake for 55 to 60 minutes or until liquid is absorbed and thickest pieces of chicken are no longer pink when cut., Place cheese on ham slices and bake uncovered 3 to 4 minutes longer or until cheese melts.","Chicken Cordon Bleu & Rice Casserole","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/69/31/picMHC5oz.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/69/31/picCeHlkx.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/69/31/pic8a9LVl.jpg","Chicken Breast, Chicken, Pork, Poultry, Meat, Potluck, Brunch, Oven, Beginner Cook, < 4 Hours, Easy","4, 2, 2, 2, 8, 4, 4","boiling water, carrots, butter, margarine, boneless skinless chicken breasts, ham, swiss cheese","5","10","216931","One Dish Meal"
"Drain tuna., Mix with mayo and dill., Put on toasted bread with a slice of cheese and you're good to go!","Dill Tuna Fish Sandwich","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/71/34/picATRPQD.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/71/34/pic3fKLBm.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/71/34/picuB5ToE.jpg","Tuna, High Protein, High In..., < 15 Mins, Beginner Cook, Easy","1, 2, 1/4","albacore tuna in water, mayonnaise, dried dill weed","4","6","217134","Lunch/Snacks"
